Date,Overall AQI Value,Main Pollutant,CO,Ozone,SO2,PM10,PM25,NO2
1/5/2018,112,Ozone,6,112,6,.,53,78
2/5/2018,119,Ozone,6,119,6,31,63,62
3/5/2018,93,Ozone,6,93,3,.,61,60
4/5/2018,74,Ozone,8,74,1,.,60,48
5/5/2018,88,PM2.5,6,61,1,9,88,32
6/5/2018,48,PM2.5,6,48,11,.,48,31
7/5/2018,51,Ozone,8,51,0,.,48,42
8/5/2018,71,Ozone,6,71,1,19,52,54
9/5/2018,90,Ozone,6,90,6,.,56,60
10/5/2018,49,PM2.5,7,48,4,.,49,47
11/5/2018,54,Ozone,7,54,3,9,40,48
12/5/2018,46,Ozone,6,46,0,.,39,31
05/13/2018,38,Ozone,7,38,0,.,35,24
05/14/2018,62,PM2.5,36,41,0,18,62,43
05/15/2018,74,Ozone,6,74,1,.,73,33
05/16/2018,48,PM2.5,8,41,0,.,48,42
05/17/2018,56,PM2.5,8,31,3,7,56,47
05/18/2018,52,PM2.5,9,42,1,.,52,39
05/19/2018,33,PM2.5,10,31,1,.,33,31
05/20/2018,45,PM2.5,10,40,0,14,45,29
05/21/2018,58,Ozone,6,58,0,.,43,40
05/22/2018,55,PM2.5,8,36,3,.,55,55
05/23/2018,58,PM2.5,7,43,1,.,58,42
05/24/2018,93,Ozone,6,93,3,.,51,45
05/25/2018,108,Ozone,5,108,1,.,60,40
05/26/2018,115,Ozone,7,115,1,27,66,49
05/27/2018,52,PM2.5,8,46,1,.,52,42
05/28/2018,45,PM2.5,7,31,0,.,45,26
05/29/2018,115,Ozone,8,115,1,.,65,54
05/30/2018,60,PM2.5,9,58,0,.,60,43
05/31/2018,57,PM2.5,8,35,1,.,57,33
1/6/2018,69,PM2.5,8,46,1,24,69,42
2/6/2018,93,Ozone,6,93,1,15,62,40
3/6/2018,40,PM2.5,5,29,3,.,40,13
4/6/2018,43,NO2,6,33,0,.,38,43
5/6/2018,54,Ozone,6,54,1,.,51,38
6/6/2018,53,PM2.5,5,33,1,.,53,29
7/6/2018,54,PM2.5,5,42,1,17,54,30
8/6/2018,74,Ozone,6,74,3,.,54,56
9/6/2018,119,Ozone,6,119,1,.,55,34
10/6/2018,51,PM2.5,6,37,1,12,51,38
11/6/2018,49,PM2.5,5,45,3,.,49,36
12/6/2018,53,PM2.5,5,51,1,.,53,35
06/13/2018,54,PM2.5,6,44,1,19,54,48
06/14/2018,46,Ozone,5,46,1,.,37,29
06/15/2018,47,NO2,5,40,1,.,44,47
06/16/2018,61,Ozone,5,61,1,11,48,39
06/17/2018,115,Ozone,6,115,7,.,56,31
06/18/2018,133,Ozone,6,133,4,.,71,35
06/19/2018,53,PM2.5,5,47,3,16,53,27
06/20/2018,101,Ozone,6,101,1,.,53,38
06/21/2018,101,Ozone,6,101,1,.,51,51
06/22/2018,52,PM2.5,6,45,1,13,52,32
06/23/2018,50,PM2.5,7,32,1,.,50,33
06/24/2018,63,PM2.5,7,46,1,.,63,32
06/25/2018,38,PM2.5,3,38,1,13,38,28
06/26/2018,50,Ozone,5,50,1,.,33,29
06/27/2018,38,Ozone,5,38,1,.,34,34
06/28/2018,58,Ozone,6,58,1,11,53,43
06/29/2018,80,Ozone,6,80,1,.,59,40
06/30/2018,129,Ozone,6,129,3,.,63,45
,,,,,,,,
Source: https://www.epa.gov/outdoor-air-quality-data/air-quality-index-daily-values-report,,,,,,,,
,,,,,,,,
,13,,,,,,,
,0.071823204,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
